TEBZ_1,TEBZ_2,TEBZ_3,TEBZ_4,TEBZ_5,TEBZ_6,ZS,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,TEB_1,TEB_2,TEB_3,TEB_4,TEB_6,TEB_5,latitude,longitude,X,Y
0.5,2,4,13.79583,32.55888,52.4933,48.17532,297.47344,297.47344,297.6142,299.20871,303.01818,304.83315,306.01349,306.69808,306.95687,307.07702,307.33476,308.43584,309.03697,309.50697,310.17918,312.15887,315.75845,319.82477,322.85047,325.22943,327.08388,328.65564,330.17995,332.0256,333.69216,335.37025,337.46493,341.14093,348.19768,359.28822,371.26439,371.26439,300.37281,299.82762,299.6003,299.13095,298.2621,298.57217,48.86965,2.33432,651169.379,6863497.223
0.5,2,4,13.06875,31.10439,51.03818,48.75909,297.41893,297.41893,297.75348,299.20523,303.06169,304.8655,306.02029,306.69969,306.95774,307.08013,307.36319,308.46577,309.03878,309.50612,310.18712,312.16863,315.75609,319.84356,322.85505,325.20498,327.11011,328.67874,330.19481,332.01556,333.68148,335.36251,337.4675,341.15403,348.16693,359.28922,371.29067,371.29067,300.22033,299.70374,299.48649,299.05162,298.20161,298.51446,48.86964,2.34285,651795.069,6863490.87
0.5,2,4,11.9625,28.89192,48.82576,48.70568,297.30135,297.30135,298.01222,298.96492,303.0906,304.90712,306.02045,306.68442,306.95889,307.08477,307.36408,308.50319,309.038,309.50164,310.18986,312.1622,315.75555,319.85892,322.86269,325.17357,327.10981,328.68546,330.2229,331.99835,333.67436,335.35613,337.4702,341.16311,348.14452,359.28319,371.3149,371.3149,300.03483,299.533,299.3188,298.91155,298.0846,298.40099,48.86963,2.35139,652421.493,6863484.578
0.5,2,4,14.08,33.12991,53.06974,44.02898,297.5378,297.5378,297.6562,299.00825,302.82169,304.89688,305.99927,306.73193,306.97138,307.07209,307.31571,308.37659,309.03253,309.49784,310.15985,312.14522,315.71237,319.84359,322.84119,325.16608,327.08602,328.66441,330.18823,332.01864,333.68624,335.361,337.46063,341.1462,348.18364,359.2931,371.27226,371.27226,300.07162,299.65255,299.4796,299.11106,298.36633,298.64602,48.86403,2.3343,651162.643,6862872.335
0.5,2,4,12.85833,30.68495,50.62151,46.68999,297.47965,297.47965,297.80735,299.07328,302.90205,304.92005,306.02186,306.7514,306.97726,307.07722,307.34675,308.42491,309.03749,309.50329,310.17046,312.16476,315.73282,319.86969,322.85307,325.15814,327.07753,328.68926,330.2011,332.01588,333.67586,335.35927,337.46407,341.16117,348.15585,359.29785,371.30062,371.30062,300.18452,299.6877,299.4811,299.07109,298.282,298.5809,48.86402,2.34284,651789.134,6862865.976
0.5,2,4,12.21556,29.39931,49.33571,46.81231,297.43334,297.43334,297.93019,298.94759,302.95293,304.88406,306.0209,306.76133,306.98358,307.08768,307.34414,308.46206,309.03841,309.50227,310.17165,312.16455,315.75116,319.85828,322.8853,325.13129,327.07536,328.68808,330.23198,332.00198,333.67282,335.35311,337.46544,341.17181,348.13465,359.28817,371.32965,371.32965,300.17635,299.66854,299.45536,299.04193,298.2349,298.54231,48.86401,2.35137,652414.893,6862859.689
0.5,2,4,13.0325,31.03503,50.97509,44.10292,297.54871,297.54871,297.65576,299.01359,302.85043,304.96135,305.93386,306.74648,307.00107,307.07728,307.32998,308.39421,309.04306,309.50029,310.15711,312.14026,315.7153,319.83938,322.88429,325.13507,327.04033,328.66641,330.18959,332.0172,333.68627,335.35661,337.46133,341.15376,348.1876,359.29187,371.28991,371.28991,300.15604,299.67773,299.48525,299.09375,298.37656,298.65366,48.85842,2.33429,651156.651,6862248.557
0.5,2,4,13.53375,32.03697,51.97592,45.02787,297.61968,297.61968,297.7732,298.99187,302.86379,304.9663,305.94571,306.75675,307.00551,307.08475,307.34886,308.43046,309.04336,309.50556,310.16231,312.15143,315.73928,319.83609,322.90922,325.13228,327.04541,328.67308,330.201,332.01239,333.67414,335.35439,337.46197,341.16056,348.16345,359.29248,371.31901,371.31901,300.40436,299.86431,299.64789,299.19859,298.43906,298.72178,48.85841,2.34282,651782.476,6862242.203
0.5,2,4,12.64667,30.26325,50.20307,44.29843,297.81391,297.81391,297.95534,298.82708,302.83307,304.90933,305.94906,306.76685,307.01186,307.09318,307.35425,308.4671,309.04446,309.5058,310.16093,312.15933,315.75934,319.82636,322.92452,325.12172,327.03598,328.65748,330.22235,331.99778,333.67137,335.3544,337.46242,341.16702,348.13635,359.28636,371.34693,371.34693,300.61133,300.07156,299.85325,299.4125,298.64079,298.93216,48.8584,2.35136,652409.035,6862235.91
