latitude,longitude,X,Y
48.86684,2.33431,651166.011,6863184.779
48.86683,2.34285,651792.468,6863178.419
48.86682,2.35138,652418.193,6863172.133
48.86123,2.3343,651160.018,6862560.999
48.86122,2.34283,651785.81,6862554.645
48.86121,2.35137,652412.335,6862548.352
48.85561,2.33428,651153.283,6861936.116
48.8556,2.34282,651779.875,6861929.755
48.85559,2.35135,652405.735,6861923.468
