latitude,longitude,X,Y
48.866869999999999,2.308700000000000,649287.377,6863204.257
48.866860000000003,2.317240000000000,649913.832,6863197.695
48.866849999999999,2.325770000000000,650539.554,6863191.206
48.866840000000003,2.334310000000000,651166.011,6863184.779
48.866830000000000,2.342850000000000,651792.468,6863178.419
48.866819999999997,2.351380000000000,652418.193,6863172.133
48.866810000000001,2.359920000000000,653044.652,6863165.909
48.866799999999998,2.368460000000000,653671.112,6863159.753
48.866790000000002,2.376990000000000,654296.839,6863153.670
48.861249999999998,2.308690000000000,649281.173,6862579.368
48.861240000000002,2.317220000000000,649906.962,6862572.811
48.861240000000002,2.325760000000000,650533.494,6862567.427
48.861229999999999,2.334300000000000,651160.018,6862560.999
48.861220000000003,2.342830000000000,651785.810,6862554.645
48.861210000000000,2.351370000000000,652412.335,6862548.352
48.861190000000001,2.359900000000000,653038.119,6862541.021
48.861179999999997,2.368440000000000,653664.646,6862534.864
48.861170000000001,2.376970000000000,654290.441,6862528.781
48.855640000000001,2.308680000000000,649274.978,6861955.593
48.855629999999998,2.317210000000000,649900.834,6861949.035
48.855620000000002,2.325750000000000,650527.425,6861942.539
48.855609999999999,2.334280000000000,651153.283,6861936.116
48.855600000000003,2.342820000000000,651779.875,6861929.755
48.855589999999999,2.351350000000000,652405.735,6861923.468
48.855580000000003,2.359880000000000,653031.595,6861917.249
48.855570000000000,2.368420000000000,653658.190,6861911.091
48.855559999999997,2.376950000000000,654284.052,6861905.007
48.850020000000001,2.308670000000000,649268.773,6861330.709
48.850009999999997,2.317200000000000,649894.697,6861324.151
48.850000000000001,2.325730000000000,650520.621,6861317.660
48.850000000000001,2.334270000000000,651147.290,6861312.343
48.849989999999998,2.342800000000000,651773.216,6861305.987
48.849980000000002,2.351330000000000,652399.143,6861299.700
48.849960000000003,2.359870000000000,653025.795,6861292.361
48.849950000000000,2.368400000000000,653651.724,6861286.209
48.849939999999997,2.376930000000000,654277.653,6861280.124
48.844410000000003,2.308650000000000,649261.844,6860706.947
48.844400000000000,2.317190000000000,649888.569,6860700.382
48.844389999999997,2.325720000000000,650514.561,6860693.891
48.844380000000001,2.334250000000000,651140.553,6860687.467
48.844369999999998,2.342780000000000,651766.547,6860681.111
48.844360000000002,2.351320000000000,652393.275,6860674.816
48.844349999999999,2.359850000000000,653019.270,6860668.595
48.844340000000003,2.368380000000000,653645.266,6860662.442
48.844320000000003,2.376920000000000,654271.988,6860655.239
48.838790000000003,2.308640000000000,649255.638,6860082.070
48.838780000000000,2.317170000000000,649881.697,6860075.510
48.838769999999997,2.325710000000000,650508.491,6860069.012
48.838760000000001,2.334240000000000,651134.551,6860062.588
48.838749999999997,2.342770000000000,651760.612,6860056.231
48.838740000000001,2.351300000000000,652386.674,6860049.942
48.838729999999998,2.359830000000000,653012.736,6860043.720
48.838720000000002,2.368360000000000,653638.800,6860037.566
48.838709999999999,2.376900000000000,654265.598,6860031.474
