latitude,longitude,X,Y
48.869680000000002,2.304440000000000,648977.631,6863519.451
48.869669999999999,2.312980000000000,649604.052,6863512.855
48.869660000000003,2.321510000000000,650229.740,6863506.332
48.869650000000000,2.330050000000000,650856.163,6863499.872
48.869639999999997,2.338590000000000,651482.586,6863493.479
48.869630000000001,2.347120000000000,652108.276,6863487.159
48.869619999999998,2.355660000000000,652734.701,6863480.902
48.869610000000002,2.364200000000000,653361.127,6863474.712
48.869599999999998,2.372730000000000,653986.820,6863468.595
48.864060000000002,2.304430000000000,648971.393,6862894.560
48.864060000000002,2.312960000000000,649597.157,6862889.081
48.864049999999999,2.321500000000000,650223.646,6862882.552
48.864040000000003,2.330040000000000,650850.136,6862876.091
48.864030000000000,2.338570000000000,651475.893,6862869.703
48.864019999999996,2.347110000000000,652102.385,6862863.377
48.864010000000000,2.355640000000000,652728.144,6862857.125
48.863999999999997,2.364180000000000,653354.637,6862850.934
48.863979999999998,2.372710000000000,653980.388,6862843.705
48.858449999999998,2.304420000000000,648965.164,6862270.784
48.858440000000002,2.312950000000000,649590.986,6862264.193
48.858429999999998,2.321490000000000,650217.543,6862257.663
48.858420000000002,2.330020000000000,650843.367,6862251.207
48.858409999999999,2.338560000000000,651469.925,6862244.812
48.858400000000003,2.347090000000000,652095.751,6862238.492
48.858390000000000,2.355630000000000,652722.310,6862232.233
48.858379999999997,2.364160000000000,653348.137,6862226.047
48.858370000000001,2.372700000000000,653974.699,6862219.924
48.852829999999997,2.304410000000000,648958.926,6861645.899
48.852820000000001,2.312940000000000,649584.815,6861639.307
48.852820000000001,2.321470000000000,650210.715,6861633.895
48.852809999999998,2.330010000000000,650837.340,6861627.432
48.852800000000002,2.338540000000000,651463.232,6861621.043
48.852789999999999,2.347070000000000,652089.125,6861614.722
48.852780000000003,2.355610000000000,652715.752,6861608.462
48.852770000000000,2.364140000000000,653341.647,6861602.276
48.852750000000000,2.372680000000000,653968.267,6861595.040
48.847220000000000,2.304390000000000,648951.963,6861022.136
48.847209999999997,2.312930000000000,649578.654,6861015.537
48.847200000000001,2.321460000000000,650204.612,6861009.012
48.847189999999998,2.329990000000000,650830.570,6861002.555
48.847180000000002,2.338530000000000,651457.264,6860996.159
48.847169999999998,2.347060000000000,652083.224,6860989.837
48.847160000000002,2.355590000000000,652709.185,6860983.583
48.847149999999999,2.364130000000000,653335.881,6860977.390
48.847140000000003,2.372660000000000,653961.844,6860971.271
48.841600000000000,2.304380000000000,648945.724,6860397.258
48.841589999999997,2.312910000000000,649571.749,6860390.664
48.841589999999997,2.321450000000000,650198.517,6860385.244
48.841580000000000,2.329980000000000,650824.543,6860378.786
48.841569999999997,2.338510000000000,651450.570,6860372.396
48.841560000000001,2.347040000000000,652076.598,6860366.073
48.841549999999998,2.355580000000000,652703.360,6860359.812
48.841540000000002,2.364110000000000,653329.390,6860353.625
48.841520000000003,2.372640000000000,653955.411,6860346.393
