latitude,longitude
48.85004,2.28307
48.85004,2.29160
48.85003,2.30013
48.85002,2.30867
48.85001,2.31720
48.85000,2.32573
48.85000,2.33427
48.84999,2.34280
48.84998,2.35133
48.84996,2.35987
48.84995,2.36840
48.84994,2.37693
48.84993,2.38547
48.84991,2.39400
48.84990,2.40253
48.84989,2.41107
48.84987,2.41960
48.84985,2.42814
48.84984,2.43667
48.84445,2.22333
48.84445,2.23186
48.84445,2.24039
48.84444,2.24893
48.84444,2.25746
48.84444,2.26599
48.84443,2.27452
48.84443,2.28306
48.84442,2.29159
48.84441,2.30012
48.84441,2.30865
48.84440,2.31719
48.84439,2.32572
48.84438,2.33425
48.84437,2.34278
48.84436,2.35132
48.84435,2.35985
48.84434,2.36838
48.84432,2.37692
48.84431,2.38545
48.84430,2.39398
48.84428,2.40251
48.84427,2.41105
48.84425,2.41958
48.84424,2.42811
48.84422,2.43664
48.83884,2.22333
48.83884,2.23186
48.83883,2.24039
48.83883,2.24892
48.83883,2.25745
48.83882,2.26598
48.83882,2.27452
48.83881,2.28305
48.83880,2.29158
48.83880,2.30011
48.83879,2.30864
48.83878,2.31717
48.83877,2.32571
48.83876,2.33424
48.83875,2.34277
48.83874,2.35130
48.83873,2.35983
48.83872,2.36836
48.83871,2.37690
48.83870,2.38543
48.83868,2.39396
48.83867,2.40249
48.83865,2.41102
48.83864,2.41955
48.83862,2.42809
48.83861,2.43662
48.83322,2.22332
48.83322,2.23185
48.83322,2.24038
48.83321,2.24892
48.83321,2.25745
48.83321,2.26598
48.83320,2.27451
48.83320,2.28304
48.83319,2.29157
48.83318,2.30010
48.83318,2.30863
48.83317,2.31716
48.83316,2.32569
48.83315,2.33422
48.83314,2.34275
48.83313,2.35128
48.83312,2.35982
48.83311,2.36835
48.83309,2.37688
48.83308,2.38541
48.83307,2.39394
48.83305,2.40247
48.83304,2.41100
48.83302,2.41953
48.83301,2.42806
48.83299,2.43659
48.82761,2.22332
48.82760,2.23185
48.82760,2.24038
48.82760,2.24891
48.82759,2.25744
48.82759,2.26597
48.82759,2.27450
48.82758,2.28303
48.82757,2.29156
48.82757,2.30009
48.82756,2.30862
48.82755,2.31715
48.82754,2.32568
48.82753,2.33421
48.82752,2.34274
48.82751,2.35127
48.82750,2.35980
48.82749,2.36833
48.82748,2.37686
48.82747,2.38539
48.82745,2.39392
48.82744,2.40245
48.82742,2.41098
48.82741,2.41951
48.82739,2.42804
48.82738,2.43657
48.82199,2.22332
48.82199,2.23185
48.82199,2.24038
48.82198,2.24891
48.82198,2.25743
48.82198,2.26596
48.82197,2.27449
48.82196,2.28302
48.82196,2.29155
48.82195,2.30008
48.82194,2.30861
48.82194,2.31714
48.82193,2.32567
48.82192,2.33419
48.82191,2.34272
48.82190,2.35125
48.82189,2.35978
48.82188,2.36831
48.82186,2.37684
48.82185,2.38537
48.82184,2.39390
48.82182,2.40243
48.82181,2.41095
48.82179,2.41948
48.82178,2.42801
48.82176,2.43654
48.81638,2.22332
48.81637,2.23184
48.81637,2.24037
48.81637,2.24890
48.81636,2.25743
48.81636,2.26596
48.81635,2.27448
48.81635,2.28301
48.81634,2.29154
48.81634,2.30007
48.81633,2.30860
48.81632,2.31712
48.81631,2.32565
48.81630,2.33418
48.81629,2.34271
48.81628,2.35124
48.81627,2.35976
48.81626,2.36829
48.81625,2.37682
48.81623,2.38535
48.81622,2.39388
48.81621,2.40240
48.81619,2.41093
48.81618,2.41946
48.81616,2.42799
48.81614,2.43652
48.81076,2.22331
48.81076,2.23184
48.81076,2.24037
48.81075,2.24889
48.81075,2.25742
48.81074,2.26595
48.81074,2.27448
48.81073,2.28300
48.81073,2.29153
48.81072,2.30006
48.81071,2.30858
48.81071,2.31711
48.81070,2.32564
48.81069,2.33417
48.81068,2.34269
48.81067,2.35122
48.81066,2.35975
48.81064,2.36827
48.81063,2.37680
48.81062,2.38533
48.81061,2.39385
48.81059,2.40238
48.81058,2.41091
48.81056,2.41944
48.81055,2.42796
48.81053,2.43649
48.80514,2.22331
48.80514,2.23184
48.80514,2.24036
48.80514,2.24889
48.80513,2.25742
48.80513,2.26594
48.80512,2.27447
48.80512,2.28299
48.80511,2.29152
48.80511,2.30005
48.80510,2.30857
48.80509,2.31710
48.80508,2.32562
48.80507,2.33415
48.80506,2.34268
48.80505,2.35120
48.80504,2.35973
48.80503,2.36826
48.80502,2.37678
48.80500,2.38531
48.80499,2.39383
48.80498,2.40236
48.80496,2.41089
48.80495,2.41941
48.80493,2.42794
48.80491,2.43646
48.79953,2.22331
48.79953,2.23183
48.79952,2.24036
48.79952,2.24888
48.79952,2.25741
48.79951,2.26593
48.79951,2.27446
48.79950,2.28299
48.79950,2.29151
48.79949,2.30004
48.79948,2.30856
48.79947,2.31709
48.79947,2.32561
48.79946,2.33414
48.79945,2.34266
48.79944,2.35119
48.79943,2.35971
48.79941,2.36824
48.79940,2.37676
48.79939,2.38529
48.79937,2.39381
48.79936,2.40234
48.79935,2.41086
48.79933,2.41939
48.79931,2.42791
48.79930,2.43644
