TEBZ_1,TEBZ_2,TEBZ_3,TEBZ_4,TEBZ_5,TEB_Z_6,ZS,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,TEB_1,TEB_2,TEB_3,TEB_4,TEB_5,TEB_6,latitude,longitude
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,33.11304,296.10169,296.10169,296.41807,299.80394,302.53782,304.43216,305.53950,306.52567,306.81248,307.06163,307.17554,308.49813,309.03494,309.51045,310.25791,312.08090,315.70094,319.76698,322.83678,325.15107,327.07516,328.63723,330.22119,332.09220,333.65109,335.32872,337.42706,341.12063,348.25958,359.12633,371.22091,371.22091,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92019,2.32590
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,34.79856,296.14096,296.14096,296.49879,299.99396,302.76920,304.46237,305.54310,306.51744,306.82198,307.07597,307.15975,308.50067,309.02910,309.50264,310.26142,312.09307,315.74276,319.80771,322.84734,325.15757,327.07999,328.65354,330.23014,332.07528,333.64887,335.32107,337.39739,341.11288,348.28541,359.13600,371.21118,371.21118,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92019,2.33445
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,36.33904,296.14368,296.14368,296.45589,299.95596,302.79664,304.45881,305.52191,306.51229,306.82740,307.08063,307.16282,308.48179,309.01790,309.48933,310.26146,312.09380,315.77417,319.80712,322.85329,325.15266,327.07759,328.66781,330.24704,332.06598,333.67142,335.34582,337.37306,341.04655,348.28650,359.15527,371.20694,371.20694,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92018,2.34299
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,37.26693,296.14953,296.14953,296.45218,300.12012,302.89149,304.43865,305.50244,306.48354,306.83004,307.08293,307.16393,308.47204,309.01493,309.48317,310.26355,312.09627,315.78519,319.81574,322.85166,325.15768,327.07901,328.68146,330.29004,332.06204,333.68758,335.38059,337.37038,341.01795,348.24981,359.18611,371.22008,371.22008,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92016,2.35154
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,37.72596,296.16464,296.16464,296.48624,300.20708,303.00236,304.46097,305.49591,306.43463,306.82507,307.07851,307.17026,308.46677,309.01194,309.47494,310.26974,312.10979,315.78941,319.83212,322.83497,325.16534,327.09297,328.67859,330.32987,332.05323,333.68606,335.39549,337.42082,340.99190,348.21492,359.19930,371.23566,371.23566,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92015,2.36008
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,37.99204,296.15992,296.15992,296.51598,300.20980,303.05537,304.45530,305.50181,306.43778,306.82058,307.07595,307.16154,308.45573,309.01099,309.46737,310.27240,312.12537,315.79369,319.83821,322.81446,325.17789,327.10430,328.66610,330.35651,332.04986,333.68310,335.38821,337.44020,340.98656,348.18934,359.20735,371.24291,371.24291,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92014,2.36863
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,38.30938,296.17385,296.17385,296.58891,300.19296,303.11500,304.48529,305.50943,306.45521,306.84276,307.07926,307.15611,308.42321,309.00834,309.46246,310.27719,312.13860,315.80451,319.85086,322.80861,325.19689,327.09283,328.63999,330.38203,332.04499,333.69337,335.38720,337.47172,340.97995,348.14730,359.22115,371.27379,371.27379,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92013,2.37717
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,38.86584,296.15472,296.15472,296.70073,300.20816,303.11529,304.52557,305.51037,306.51307,306.87892,307.08095,307.16074,308.40037,309.00945,309.45636,310.28042,312.14368,315.81786,319.86217,322.82072,325.20549,327.05562,328.65344,330.37543,332.02181,333.70305,335.41197,337.49173,340.96693,348.11208,359.23797,371.29372,371.29372,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92012,2.38572
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,39.50329,296.15828,296.15828,296.89952,300.29885,303.11874,304.53563,305.49012,306.51019,306.89148,307.07683,307.17551,308.36887,309.01218,309.45241,310.28890,312.15210,315.83453,319.87675,322.82929,325.22900,327.02758,328.68423,330.34736,332.00260,333.66809,335.43299,337.51673,340.98171,348.09005,359.24453,371.31407,371.31407,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92010,2.39426
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,40.24469,296.19985,296.19985,296.95158,300.51243,303.10512,304.53294,305.47935,306.49539,306.89885,307.06734,307.20132,308.36866,309.01381,309.45245,310.30172,312.16658,315.85802,319.87897,322.83082,325.23015,327.03056,328.69922,330.31964,331.98996,333.63565,335.42840,337.53118,341.00547,348.08082,359.24415,371.32494,371.32494,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92009,2.40281
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,41.16216,296.21237,296.21237,296.97307,300.56277,303.01780,304.52644,305.48518,306.45588,306.90885,307.06536,307.21175,308.38638,309.02555,309.45480,310.30650,312.17291,315.85702,319.88741,322.82836,325.21541,327.03829,328.69069,330.30228,331.98040,333.61448,335.39739,337.52208,341.02494,348.07997,359.23468,371.32746,371.32746,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92007,2.41135
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,42.35531,296.23816,296.23816,297.10039,300.72317,302.98618,304.51933,305.58693,306.42936,306.91460,307.06583,307.21772,308.39839,309.04174,309.45780,310.31027,312.17958,315.86245,319.89286,322.82897,325.18449,327.07063,328.67137,330.31726,331.97436,333.60421,335.38202,337.50253,341.04005,348.08954,359.22885,371.32957,371.32957,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92006,2.41990
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,43.92877,296.23793,296.23793,297.28128,300.77701,303.00026,304.53938,305.66512,306.42770,306.91952,307.06858,307.24005,308.41798,309.04913,309.45967,310.31369,312.19132,315.87813,319.89979,322.82290,325.17585,327.11513,328.66395,330.31628,331.97919,333.59805,335.37637,337.49532,341.04586,348.09406,359.23062,371.33471,371.33471,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92004,2.42844
